BGE,rate,JV,JE,size
0.19289440489643395,0.008478396148223141,6.743692370337519e-8,4.808899379682678e-10,4
NaN,0.005062125004204077,6.107032920752502e-8,2.667988481455644e-10,4
NaN,0.0009126259144720391,5.397961705242856e-8,4.633255599779153e-11,4
NaN,0.002088430701995547,5.5443522196039585e-8,1.068500778956189e-10,4
0.15483249522281697,0.006733487041987613,6.534587438871577e-8,3.6960872733851335e-10,4
NaN,0.0037698804859585626,5.922881668048706e-8,1.9567512988174045e-10,4
NaN,0.0006497051065724991,5.3141494200704905e-8,3.2972739408938005e-11,4
0.6361670506863446,0.005544987579779288,6.396683010122511e-8,2.9396300909237235e-10,4
NaN,0.002911566581133949,5.609667934223084e-8,1.499867770759417e-10,4
NaN,0.004686943277686345,5.924747199921463e-8,2.459048405942351e-10,4
NaN,0.002923224299896436,5.6096843472116725e-8,1.5060354268156743e-10,4
NaN,0.004976302849397034,6.044338722060032e-8,2.620077137789017e-10,4
0.15493718721954194,0.006726917221528569,6.534422008477951e-8,3.6915850621273576e-10,4
NaN,0.005519344718742396,6.364152583182903e-8,2.9258010517846405e-10,4
0.15928659572504056,0.006965462879863308,6.537071681557962e-8,3.8432484945278954e-10,4
0.23042125159936988,0.010753565089250312,6.856867791150938e-8,6.793849058369436e-10,4
0.20651011690831267,0.009391168314686938,6.757089334204143e-8,5.424332327380918e-10,4
0.18971166541982368,0.00839399777328899,6.642708383761413e-8,4.756778427559786e-10,4
0.2516658461567614,0.012998449993859674,6.899410162437625e-8,8.601368149061658e-10,4
0.29590764192516483,0.0188800679642481,7.950584268061112e-8,1.5747254087385994e-9,4
0.26207886700288097,0.014447106949903235,6.929026128396315e-8,9.78874355735522e-10,4
0.15493713773115586,0.0067269153267462975,6.534421993435252e-8,3.69158388400548e-10,4
0.19289440489643395,0.008478396148223141,6.743692370337519e-8,4.808899379682678e-10,4
0.20259471441561538,0.009192139443256763,6.753414564895424e-8,5.28640508705739e-10,4
0.19289436748039834,0.008478393780461689,6.743692335563857e-8,4.808897809880038e-10,4
0.13779346162985628,0.006951513723181434,6.261224283854139e-8,3.505819902865518e-10,5
NaN,0.003713891302715844,5.648116821370595e-8,1.7664488908453555e-10,5
NaN,0.0006086821993411278,5.13904224240713e-8,2.8685288010330666e-11,5
NaN,0.0014241802779661717,5.261854938102795e-8,6.678273390376288e-11,5
0.08791001525888585,0.0054589700412919565,6.153055341635971e-8,2.6460949386032105e-10,5
NaN,0.0026761533987265363,5.453230428055702e-8,1.2631436964539995e-10,5
NaN,0.00043555137377804254,5.217748997203484e-8,2.084362338630213e-11,5
NaN,0.004156016009881629,5.7715614463218034e-8,1.9862469788542992e-10,5
NaN,0.002029884672495745,5.32956793354988e-8,9.542694160480617e-11,5
NaN,0.0034817976965224647,5.597209538547067e-8,1.6531560667518353e-10,5
NaN,0.002037980022412792,5.3301720223729605e-8,9.581220074022812e-11,5
NaN,0.003647056308619387,5.600120774642406e-8,1.733433390186838e-10,5
0.08799260813091316,0.005455719167923561,6.153016814576562e-8,2.6443273443519096e-10,5
NaN,0.004181277997564216,5.7716461856915046e-8,1.9991444324137482e-10,5
0.6802927032703168,0.005492546984921429,5.964609031897041e-8,2.6983020461134983e-10,5
0.18625970547432608,0.009207214433724884,6.386272594624866e-8,5.098858014348723e-10,5
0.154335189405894,0.007749770293547928,6.266853065540866e-8,3.9688417637161886e-10,5
0.13234764606061813,0.006670499524803653,6.259739275039309e-8,3.3477269580418353e-10,5
0.21501386271075695,0.012203209187424758,6.538739118635587e-8,7.408392498863834e-10,5
0.27000212691605474,0.02761040416340025,1.4266102796727753e-7,2.1165987506919042e-9,5
0.2274050281374489,0.013936007705224471,6.574672865122251e-8,8.85893013985891e-10,5
0.08799254413190521,0.005455717486629874,6.153016807424754e-8,2.6443264788277487e-10,5
0.13779346162985628,0.006951513723181434,6.261224283854139e-8,3.505819902865518e-10,5
0.15207954715446537,0.007608942006751383,6.265600308770501e-8,3.885217910423814e-10,5
0.13779341497019865,0.006951511708727528,6.261224269808796e-8,3.5058187507651687e-10,5
