Vcell,kE,yEV,yEVr,response,gmax,VP,VR
4.125076727300261e-18,1.262130742915783,2.552085949669329,1.4398745025029083,undefined,0.14380646899583927,2.3164798546996193e-19,2.639384154725206e-20
4.057431135184389e-17,2.190244495183127,1.4604736323707757,2.411300309566033,negative,0.48471830808387784,1.1476300627844085e-18,2.5397954591938943e-19
1.791099383524526e-17,2.431609474667157,1.3091291518013601,1.643835616438356,positive,0.7220283130832764,6.474554413802565e-19,1.9225174313830324e-19
6.658107520087811e-17,0.985893884622813,3.2701672085412397,1.2687762783132508,positive,0.09831874901559508,1.6231986356537877e-18,1.6187427648195422e-19
2.4794254717885384e-17,0.9450631932276768,3.411851403116862,1.7043361957598753,undefined,0.09254301476100738,8.129649969817664e-19,7.960762016232824e-20
2.467385839152601e-17,1.08612411058435,2.967478247402407,1.2687762783132508,negative,0.1134447104026097,8.101996543817695e-19,8.462464304395554e-20
2.3504506863588386e-17,1.274937838029642,2.5263251870192165,1.2687762783132508,negative,0.1462335823966129,7.831264758396375e-19,8.982350873564879e-20
5.05540755566453e-19,1.0642571720425118,3.028660058696426,1.2687762783132508,positive,0.11002336199364211,5.32911911142789e-20,5.5092661483182015e-21
3.9445816866757744e-19,1.012740988330837,3.183224634597106,1.2687762783132508,positive,0.10223409742772054,4.4794714601316237e-20,4.521933317171002e-21
2.5868200445257804e-19,2.5534151777259506,1.2415071498448125,1.9255982749704434,undefined,0.9241962407465937,3.333975916541028e-20,1.2067164148178325e-20
6.047377216738703e-17,1.3991161579189044,2.300918513830724,1.9773319509261735,positive,0.17157108429701615,1.5174802506777974e-18,1.8608585894352047e-19
2.453711301498767e-17,0.8758086875903657,3.682339410943051,1.8726789939300528,positive,0.08321094604561168,8.070538810035725e-19,7.667852340316123e-20
